HeatRateCurve,SeriesHRC,InterceptHRC,SlopeHRC
GST_NAT_GAS_04_2,GST_NAT_GAS_04,-0.12857878,7.1143
GST_NAT_GAS_04_3,GST_NAT_GAS_04,-1.028582195,8.3143
GST_NAT_GAS_05_1,GST_NAT_GAS_05,0,6.345
GST_NAT_GAS_05_2,GST_NAT_GAS_05,-0.2325,6.81
GST_NAT_GAS_05_3,GST_NAT_GAS_05,-0.581250131,7.275
GST_NAT_GAS_06_1,GST_NAT_GAS_06,0,6.3144
GST_NAT_GAS_06_2,GST_NAT_GAS_06,-0.118397734,6.5512
GST_NAT_GAS_06_3,GST_NAT_GAS_06,-0.947149008,7.6562
GST_NAT_GAS_07_1,GST_NAT_GAS_07,0,6.768
GST_NAT_GAS_07_2,GST_NAT_GAS_07,-0.248,7.264
GST_NAT_GAS_07_3,GST_NAT_GAS_07,-0.62,7.76
GST_NAT_GAS_08_1,GST_NAT_GAS_08,0,9.8093
GST_NAT_GAS_09_1,GST_NAT_GAS_09,0,7.4592
GST_NAT_GAS_09_2,GST_NAT_GAS_09,-0.419596259,8.2984
GST_NAT_GAS_09_3,GST_NAT_GAS_09,-0.559404082,8.4848
GST_NAT_GAS_10_1,GST_NAT_GAS_10,0,8.6747
GST_NAT_GAS_11_1,GST_NAT_GAS_11,0,7.0727
GST_NAT_GAS_12_1,GST_NAT_GAS_12,0,6
GST_NAT_GAS_12_2,GST_NAT_GAS_12,-0.1125,6.225
GST_NAT_GAS_12_3,GST_NAT_GAS_12,-0.9,7.275
GST_NAT_GAS_13_1,GST_NAT_GAS_13,0,5.76
GST_NAT_GAS_13_2,GST_NAT_GAS_13,-0.108,5.976
GST_NAT_GAS_13_3,GST_NAT_GAS_13,-0.864,6.984
GST_NAT_GAS_14_1,GST_NAT_GAS_14,0,6.6833
GST_NAT_GAS_14_2,GST_NAT_GAS_14,-0.244876563,7.1731
GST_NAT_GAS_14_3,GST_NAT_GAS_14,-0.612217188,7.6629
GST_NAT_GAS_15_1,GST_NAT_GAS_15,0,7.458
GST_NAT_GAS_16_1,GST_NAT_GAS_16,0,11.8969
GST_OTHER_GAS_01_1,GST_OTHER_GAS_01,0,7.1661
GST_OTHER_GAS_01_2,GST_OTHER_GAS_01,-0.2625912,7.6913
GST_OTHER_GAS_01_3,GST_OTHER_GAS_01,-0.6564928,8.2165
GST_OTHER_GAS_02_1,GST_OTHER_GAS_02,0,8.2336
GST_OTHER_GAS_02_2,GST_OTHER_GAS_02,-0.301711976,8.837
GST_OTHER_GAS_02_3,GST_OTHER_GAS_02,-0.754265868,9.4404
GT_GASOIL_01_1,GT_GASOIL_01,0,9.6
GT_GASOIL_01_2,GT_GASOIL_01,-0.54,10.68
GT_GASOIL_01_3,GT_GASOIL_01,-0.72,10.92
GT_GASOIL_02_1,GT_GASOIL_02,0,10.6667
GT_GASOIL_02_2,GT_GASOIL_02,-0.600016092,11.8667
GT_GASOIL_02_3,GT_GASOIL_02,-0.799974713,12.1333
GT_GASOIL_03_1,GT_GASOIL_03,0,9.931
GT_GASOIL_03_2,GT_GASOIL_03,-0.18618,10.3034
GT_GASOIL_03_3,GT_GASOIL_03,-1.48967,12.0414
GT_NAT_GAS_01_1,GT_NAT_GAS_01,0,8.2296
GT_NAT_GAS_01_2,GT_NAT_GAS_01,-0.154264483,8.5379
GT_NAT_GAS_01_3,GT_NAT_GAS_01,-1.234253793,9.9778
GT_NAT_GAS_02_1,GT_NAT_GAS_02,0,8.2287
GT_NAT_GAS_02_2,GT_NAT_GAS_02,-0.154264483,8.5381
GT_NAT_GAS_02_3,GT_NAT_GAS_02,-1.234253793,9.9776
GT_NAT_GAS_03_1,GT_NAT_GAS_03,0,8.2291
GT_NAT_GAS_03_2,GT_NAT_GAS_03,-0.154264483,8.5379
GT_NAT_GAS_03_3,GT_NAT_GAS_03,-1.234253793,9.9777
GT_NAT_GAS_04_1,GT_NAT_GAS_04,0,8.2286
GT_NAT_GAS_04_2,GT_NAT_GAS_04,-0.154264483,8.5382
GT_NAT_GAS_04_3,GT_NAT_GAS_04,-1.234253793,9.9778
GT_NAT_GAS_05_1,GT_NAT_GAS_05,0,8.229
GT_NAT_GAS_05_2,GT_NAT_GAS_05,-0.154264483,8.538
GT_NAT_GAS_05_3,GT_NAT_GAS_05,-1.234253793,9.977
GT_NAT_GAS_06_1,GT_NAT_GAS_06,0,8.2288
GT_NAT_GAS_06_2,GT_NAT_GAS_06,-0.154264483,8.5377
GT_NAT_GAS_06_3,GT_NAT_GAS_06,-1.234253793,9.978
GT_NAT_GAS_07_1,GT_NAT_GAS_07,0,8.2289
GT_NAT_GAS_07_2,GT_NAT_GAS_07,-0.154264483,8.5378
GT_NAT_GAS_07_3,GT_NAT_GAS_07,-1.234253793,9.979
GT_NAT_GAS_08_1,GT_NAT_GAS_08,0,9.0135
GT_NAT_GAS_09_1,GT_NAT_GAS_09,0,7.6254
GT_NAT_GAS_09_2,GT_NAT_GAS_09,-0.27943066,8.1843
GT_NAT_GAS_09_3,GT_NAT_GAS_09,-0.698536792,8.7431
GT_NAT_GAS_10_1,GT_NAT_GAS_10,0,9.0136
GT_NAT_GAS_11_1,GT_NAT_GAS_11,0,9.0137
GT_NAT_GAS_12_1,GT_NAT_GAS_12,0,12.3
GT_NAT_GAS_13_1,GT_NAT_GAS_13,0,12.4
GT_NAT_GAS_14_1,GT_NAT_GAS_14,0,12.1
GT_NAT_GAS_15_1,GT_NAT_GAS_15,0,12.2
GT_NAT_GAS_16_1,GT_NAT_GAS_16,0,10.6667
GT_NAT_GAS_16_2,GT_NAT_GAS_16,-0.200016406,11.0667
GT_NAT_GAS_16_3,GT_NAT_GAS_16,-1.599975,12.9333
GT_NAT_GAS_17_1,GT_NAT_GAS_17,0,6.9916
GT_NAT_GAS_18_1,GT_NAT_GAS_18,0,10.6888
GT_NAT_GAS_19_1,GT_NAT_GAS_19,0,10.575
GT_NAT_GAS_19_2,GT_NAT_GAS_19,-0.3875,11.35
GT_NAT_GAS_19_3,GT_NAT_GAS_19,-0.96875,12.125
GT_NAT_GAS_20_1,GT_NAT_GAS_20,0,12.5786
GT_NAT_GAS_21_1,GT_NAT_GAS_21,0,7.2108
GT_NAT_GAS_21_2,GT_NAT_GAS_21,-0.405592,8.022
GT_NAT_GAS_21_3,GT_NAT_GAS_21,-0.540808,8.2023
GT_NAT_GAS_22_1,GT_NAT_GAS_22,0,7.52
GT_NAT_GAS_22_2,GT_NAT_GAS_22,-0.275551163,8.0711
GT_NAT_GAS_22_3,GT_NAT_GAS_22,-0.688872093,8.6222
GT_NAT_GAS_23_1,GT_NAT_GAS_23,0,7.1111
GT_NAT_GAS_23_2,GT_NAT_GAS_23,-0.133344186,7.3778
GT_NAT_GAS_23_3,GT_NAT_GAS_23,-1.066648837,8.6222
GT_NAT_GAS_24_1,GT_NAT_GAS_24,0,8.8889
GT_NAT_GAS_25_1,GT_NAT_GAS_25,0,7.2108
GT_NAT_GAS_25_2,GT_NAT_GAS_25,-0.135193122,7.4812
GT_NAT_GAS_25_3,GT_NAT_GAS_25,-1.081613757,8.7431
GT_NAT_GAS_26_1,GT_NAT_GAS_26,0,5.4096
GT_NAT_GAS_26_2,GT_NAT_GAS_26,-0.198203846,5.806
GT_NAT_GAS_26_3,GT_NAT_GAS_26,-0.495569231,6.2025
GT_NAT_GAS_27_1,GT_NAT_GAS_27,0,11.8047
GT_NAT_GAS_27_2,GT_NAT_GAS_27,-0.432572,12.6698
GT_NAT_GAS_27_3,GT_NAT_GAS_27,-1.081404,13.5349
GT_WASTE_01_1,GT_WASTE_01,0,12.5217
GT_WASTE_01_2,GT_WASTE_01,-0.704331034,13.9304
GT_WASTE_01_3,GT_WASTE_01,-0.939147126,14.2435
NUCLEAR_01_1,NUCLEAR_01,0,8
NUCLEAR_01_2,NUCLEAR_01,-0.15,8.3
NUCLEAR_01_3,NUCLEAR_01,-1.2,9.7
NUCLEAR_02_1,NUCLEAR_02,0,10
NUCLEAR_03_1,NUCLEAR_03,0,10.9091
NUCLEAR_04_1,NUCLEAR_04,0,9.2291
NUCLEAR_04_2,NUCLEAR_04,-0.338204548,9.9055
NUCLEAR_04_3,NUCLEAR_04,-0.845440936,10.5818
NUCLEAR_05_1,NUCLEAR_05,0,8.7273
NUCLEAR_05_2,NUCLEAR_05,-0.163613649,9.0545
NUCLEAR_05_3,NUCLEAR_05,-1.309077299,10.5818
NUCLEAR_06_1,NUCLEAR_06,0,8.7273
NUCLEAR_06_2,NUCLEAR_06,-0.490913615,9.7091
NUCLEAR_06_3,NUCLEAR_06,-0.654565846,9.9273
NUCLEAR_07_1,NUCLEAR_07,0,8.46
NUCLEAR_07_2,NUCLEAR_07,-0.31,9.08
NUCLEAR_07_3,NUCLEAR_07,-0.775,9.7
NUCLEAR_08_1,NUCLEAR_08,0,11.1111
