DynamicProfile,DayType,Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
AT_PHOTO,AutumnWD,SEED_2013.09.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002903405,0.021920904,0.038786567,0.05829916,0.081252567,0.107185577,0.135291826,0.168182891,0.20246332,0.241409971,0.276565225,0.309517119,0.34213458,0.369984202,0.383557615,0.384771141,0.365049942,0.352410423,0.353193816,0.360145502,0.367792875,0.380300568,0.393355858,0.39791306,0.397600881,0.399743657,0.395426119,0.38921362,0.382859702,0.374656334,0.36130947,0.345502043,0.325906981,0.30559714,0.28431767,0.260037279,0.234453182,0.20746325,0.178352537,0.149944298,0.119926635,0.091686837,0.066595474,0.042599663,0.02165425,0.005107313,0,0,0.008164728,0.012018705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.09.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013870738,0.034239047,0.060064546,0.090466552,0.127056735,0.167663729,0.20955358,0.25062679,0.292833453,0.332221578,0.374982263,0.407904901,0.432354235,0.457750409,0.488500345,0.510982664,0.536027574,0.562635776,0.587293304,0.608358487,0.62528557,0.637695648,0.645236953,0.649539511,0.646604341,0.641910354,0.632941451,0.621670693,0.605162221,0.58678025,0.56322425,0.539324722,0.511424803,0.48003191,0.443335445,0.402143078,0.362220377,0.315994941,0.270333027,0.223796128,0.179111946,0.133448472,0.093846434,0.058306538,0.03020737,0.006279611,0,0,0,0.004922734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.09.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003619034,0.022275481,0.043116424,0.06065025,0.086249589,0.121543766,0.156531677,0.193875266,0.230347141,0.268074813,0.305889266,0.339965141,0.374778308,0.40635131,0.431042866,0.452706106,0.471187228,0.489921799,0.505332881,0.521428262,0.534383174,0.540077736,0.542805813,0.542090953,0.537741974,0.528274589,0.516346189,0.504831743,0.492398285,0.473554375,0.456028734,0.437964984,0.405764476,0.373509886,0.345116018,0.296138508,0.279578125,0.246466792,0.2175715,0.182757813,0.150051222,0.117230564,0.088414777,0.058167236,0.032398202,0.013819936,0,0,0.002391744,0.005298365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.09.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063425,0,0,0,0.004616797,0.012055394,0.021433124,0.027393204,0.034492585,0.041411607,0.047593649,0.060724097,0.065368922,0.071813692,0.082537444,0.091291619,0.101899226,0.11812328,0.138202036,0.170048713,0.166337928,0.17779979,0.177673477,0.17783658,0.178325136,0.177726843,0.181103255,0.1799402,0.181716821,0.185999015,0.180394716,0.173749618,0.17188413,0.179433827,0.178307994,0.174271537,0.1743165,0.162591563,0.146494183,0.133040652,0.116867688,0.097716044,0.078063456,0.05851482,0.042148231,0.028194646,0.012526568,0.003434487,0,0,0.003429438,0.003683275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.09.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000632163,0.010598354,0.026080694,0.042283417,0.059204727,0.078036683,0.09771877,0.116174365,0.13298351,0.150171742,0.170526135,0.193498914,0.215042808,0.234528433,0.253692192,0.267758683,0.277835283,0.285820843,0.291054346,0.289788673,0.29001075,0.29314715,0.290781933,0.292229731,0.289704658,0.286395568,0.277377404,0.270817197,0.271319394,0.270686383,0.26692501,0.262994779,0.258426481,0.251049864,0.235795173,0.216063144,0.195283125,0.171509574,0.146849481,0.122360078,0.096286173,0.070932519,0.047724933,0.02672572,0.008664823,0,0,0.002262848,0.005446154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.09.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011507358,0.030102614,0.053436,0.08059624,0.11112876,0.143845029,0.179458623,0.213952471,0.250519508,0.284705586,0.319503269,0.350281337,0.378279231,0.403013404,0.42775551,0.448993682,0.46748776,0.483357414,0.497316162,0.507416731,0.512742144,0.515710147,0.518533555,0.519581212,0.517174746,0.511115804,0.501392817,0.486709326,0.466729873,0.446082596,0.42098299,0.393171787,0.363338203,0.33378536,0.300668936,0.264205215,0.230419962,0.196111211,0.163309102,0.129775154,0.097952135,0.067525231,0.042186462,0.019086042,0.002498627,0,0,0.001551531,0.004929982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.09.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002977541,0.015152879,0.030046427,0.048073276,0.065380216,0.08617068,0.110479623,0.137211487,0.166146733,0.197535482,0.232474364,0.268565172,0.300931114,0.33139019,0.361741629,0.387189877,0.406326752,0.419647261,0.43329417,0.447893594,0.456840943,0.461127419,0.466967989,0.468573682,0.468119442,0.461775903,0.448269841,0.435333322,0.416140089,0.394701685,0.374129453,0.352324755,0.32813385,0.299297612,0.271817902,0.241829807,0.210585134,0.180010681,0.149691614,0.120511308,0.09237125,0.065200954,0.040490413,0.020124024,0.004117818,0,0.000789386,0.001051281,0.001722894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.09.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002988525,0.017748502,0.032710767,0.055869267,0.082691922,0.110789201,0.142347928,0.174929111,0.207207368,0.237204081,0.268319016,0.294688102,0.315700955,0.330674136,0.341253067,0.344539903,0.340179989,0.333911059,0.325952004,0.320608578,0.313854915,0.302583761,0.29138171,0.27747364,0.262238706,0.246846475,0.231986656,0.219547621,0.205518879,0.195883761,0.187510977,0.173382018,0.160954331,0.147038218,0.132285336,0.116354479,0.101096713,0.085416284,0.070022477,0.055217187,0.04165556,0.029640706,0.016707171,0.004702423,0,0,0,0.000755809,0.002619926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000692378,0.006358083,0.018760319,0.034865082,0.052027486,0.072934403,0.094167403,0.117129345,0.141393018,0.169782989,0.191759172,0.213654824,0.24065878,0.258418476,0.274358631,0.291149911,0.303640584,0.317454042,0.326095802,0.334668464,0.340270298,0.346611804,0.357026644,0.364015761,0.365626073,0.364774972,0.362547849,0.355561042,0.345106182,0.326746736,0.309807222,0.289142935,0.269397642,0.246847642,0.223450266,0.196501815,0.170440808,0.146096311,0.122119945,0.100306097,0.077978416,0.055834264,0.034173587,0.015058594,0.003213506,0,0,0,0.005301992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004366432,0.024691596,0.04842766,0.07920827,0.112226003,0.146760372,0.186452864,0.225905878,0.268229247,0.307696023,0.35300142,0.399547514,0.438522813,0.475521671,0.507382215,0.531927052,0.552192965,0.572282201,0.590388151,0.60667069,0.62193638,0.630384222,0.634466182,0.636863111,0.635899495,0.631929349,0.624293736,0.614028194,0.595461185,0.573654961,0.550045127,0.523908827,0.494565883,0.458854973,0.420875911,0.382785293,0.335123205,0.286199229,0.237934213,0.191385113,0.141666288,0.100997513,0.060376142,0.026945153,0.002590354,0,0,0.005376303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
