,id,dateTimeUtc,tso,cneName,cneEic,direction,hubFrom,hubTo,substationFrom,substationTo,elementType,fmaxType,contTso,contName,contingencies,presolved,ram,minRamFactor,minRamTarget,justification,imax,u,fmax,frm,frefInit,fnrao,fref,fcore,fall,fuaf,amr,ltaMargin,cva,iva,ftotalLtn,fltn,ptdf_ALBE,ptdf_ALDE,ptdf_AT,ptdf_BE,ptdf_CZ,ptdf_DE,ptdf_FR,ptdf_HR,ptdf_HU,ptdf_NL,ptdf_PL,ptdf_RO,ptdf_SI,ptdf_SK
700,212050566,2023-03-15T06:00:00Z,APG,Rosegg - Villach Sued 267B ,14T-220-0-0267BG,DIRECT,AT,AT,Rosegg,Villach,Line,SEASONAL,APG,Feistritz - Villach 266C,"[{'number': 1, 'branchName': 'Feistritz - Villach 266C', 'branchEic': '14T-220-0-0266CH', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Feistritz ', 'substationTo': 'Villach', 'elementType': 'Line'}]",TRUE,828,28.8,0.392,,2000,220,779,76,7,-9,16,-126,-44,-81,0,0,0,0,-125,1,-0.04946,-0.04881,-0.1531,-0.04985,-0.02384,-0.05182,-0.05165,0.0064,-0.00212,-0.04856,-0.02618,-0.00078,0.0094,-0.00974
701,212050575,2023-03-15T06:00:00Z,APG,Obersielach - Rosegg 267C ,14T-220-0-0267CE,OPPOSITE,AT,AT,Obersielach ,Rosegg ,Line,SEASONAL,APG,Feistritz - Obersielach 268,"[{'number': 1, 'branchName': 'Feistritz - Obersielach 268', 'branchEic': '14T-220-0-00268E', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Feistritz ', 'substationTo': 'Obersielach', 'elementType': 'Line'}]",TRUE,535,28.4,0.2,,2000,220,779,76,36,9,27,169,87,81,0,0,0,0,168,-1,0.04946,0.04881,0.1531,0.04985,0.02384,0.05182,0.05165,-0.0064,0.00212,0.04856,0.02618,0.00078,-0.0094,0.00974
702,212050598,2023-03-15T06:00:00Z,APG,Strass - Thaur 273B ,14T-220-0-0273BO,DIRECT,AT,AT,Strass,Thaur,Line,SEASONAL,APG,Strass - Thaur 274B,"[{'number': 1, 'branchName': 'Strass - Thaur 274B', 'branchEic': '14T-220-0-0274BL', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Strass', 'substationTo': 'Thaur', 'elementType': 'Line'}]",TRUE,97,25.9,0.2,,1195,220,466,39,195,3,192,330,281,49,0,0,0,0,330,0,-0.03151,-0.03126,0.04996,-0.03171,-0.01097,-0.03804,-0.03213,0.00203,-0.00016,-0.0309,-0.01483,-0.00026,0.00272,-0.00364
703,212050747,2023-03-15T06:00:00Z,APG,Meiningen - Ruetli 407 ,10T-AT-CH-00003T,OPPOSITE,AT,CH,Meiningen,Ruetli,TieLine,SEASONAL,,,"[{'number': 1, 'branchName': None, 'branchEic': None, 'hubFrom': None, 'hubTo': None, 'substationFrom': None, 'substationTo': None, 'elementType': None}]",TRUE,506,33.8,0.441,,2400,220,935,62,136,-133,269,367,463,-96,0,0,0,0,367,0,0.03777,0.0325,-0.04028,0.04015,0.00288,0.01539,0.05111,0.00067,-0.00116,0.03377,0.00873,-0.00012,0.00279,0.0003
704,212050760,2023-03-15T06:00:00Z,APG,Westtirol 2 - Voehringen 411 ,10T1001C--00037V,OPPOSITE,AT,DE,Westtirol 2 ,Voehringen,TieLine,SEASONAL,TRANSNETBW,Buers - Westtirol ws (421) Westtirol 1 - Buers 421,"[{'number': 1, 'branchName': 'Buers - Westtirol ws (421)', 'branchEic': '10T-AT-DE-000061', 'hubFrom': 'DE', 'hubTo': 'AT', 'substationFrom': 'Buers', 'substationTo': 'Westtirol', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Westtirol 1 - Buers 421', 'branchEic': '10T-AT-DE-000061', 'hubFrom': 'DE', 'hubTo': 'AT', 'substationFrom': 'Buers', 'substationTo': 'Westtirol', 'elementType': 'TieLine'}]",TRUE,456,32.8,0.492,,1282,220,500,68,-15,-13,-2,-24,59,-82,0,0,0,0,-24,0,0.04493,0.04463,-0.0651,0.04526,0.01258,0.02548,0.04584,-0.00221,-6.00E-05,0.04385,0.01913,0.00028,-0.00264,0.00417
705,212050894,2023-03-15T06:00:00Z,APG,Duernrohr 1 - Slavetice 437 ,10T-AT-CZ-00003X,OPPOSITE,AT,CZ,Duernrohr 1,Slavetice,TieLine,SEASONAL,CEPS,Slavetice - Durnrohr - V438  Duernrohr 1 - Slavetice 438,"[{'number': 1, 'branchName': 'Slavetice - Durnrohr - V438 ', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'CZ', 'hubTo': 'AT', 'substationFrom': 'Slavetice ', 'substationTo': 'Durnrohr ', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Duernrohr 1 - Slavetice 438', 'branchEic': '10T-AT-CZ-00004V', 'hubFrom': 'AT', 'hubTo': 'CZ', 'substationFrom': 'Duernrohr 1', 'substationTo': 'Slavetice', 'elementType': 'TieLine'}]",TRUE,1186,34.5,0.358,,2670,380,1850,148,811,11,800,519,543,-24,0,0,0,0,516,-3,0.04889,0.05108,-0.06477,0.04762,0.22016,0.05078,0.04096,-0.02513,0.00387,0.05153,0.07481,0.00357,-0.03918,0.082
706,212050928,2023-03-15T06:00:00Z,APG,Sarasdorf - Zurndorf 439A ,14T-380-0-0439AA,OPPOSITE,AT,AT,Sarasdorf ,Zurndorf,Line,SEASONAL,APG,Sarasdorf - Zurndorf 440A,"[{'number': 1, 'branchName': 'Sarasdorf - Zurndorf 440A', 'branchEic': '14T-380-0-0440AX', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Sarasdorf ', 'substationTo': 'Zurndorf', 'elementType': 'Line'}]",TRUE,795,24.7,0.256,,2300,380,1593,152,515,6,509,658,672,-14,0,0,0,0,646,-12,-0.15934,-0.15967,-0.1339,-0.15931,-0.17346,-0.16087,-0.15865,-0.04162,0.03916,-0.15907,-0.10455,0.00447,-0.09723,-0.0145
707,212051265,2023-03-15T06:00:00Z,APG,Zell am Ziller 1 - Zell am Ziller 2 ZZRHU41 ,14T-38220-ZZ041D,DIRECT,AT,AT,Zell am Ziller 1 ,Zell am Ziller 2 ,Transformer,SEASONAL,APG,Zell am Ziller 1 - Zell am Ziller 2 ZZRHU42,"[{'number': 1, 'branchName': 'Zell am Ziller 1 - Zell am Ziller 2 ZZRHU42', 'branchEic': '14T-38220-ZZ042B', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Zell am Ziller 1 ', 'substationTo': 'Zell am Ziller 2 ', 'elementType': 'Transformer'}]",TRUE,352,29,0.293,,1732,220,1200,120,556,8,548,746,750,-3,18,0,0,0,746,0,-0.09146,-0.09066,0.00439,-0.09209,-0.03147,-0.10821,-0.09348,0.0058,-0.00041,-0.08963,-0.04276,-0.00075,0.0077,-0.01044
708,212051329,2023-03-15T06:00:00Z,APG,Lienz 2 - Lienz 1 LIRHU43 ,14T-38220-LI043U,DIRECT,AT,AT,Lienz 2,Lienz 1,Transformer,SEASONAL,APG,Lienz 2 - Lienz 1 LIRHU41,"[{'number': 1, 'branchName': 'Lienz 2 - Lienz 1 LIRHU41', 'branchEic': '14T-38220-LI041Y', 'hubFrom': 'AT', 'hubTo': 'AT', 'substationFrom': 'Lienz 2 ', 'substationTo': 'Lienz 1', 'elementType': 'Transformer'}]",TRUE,143,29.5,0.259,,1425,220,555,55,188,-9,197,356,337,20,0,0,0,0,357,1,-0.02802,-0.02854,0.0655,-0.02783,-0.01765,-0.03315,-0.02611,0.00621,-0.00277,-0.0281,-0.01757,-0.00081,0.01108,-0.00815
709,212051450,2023-03-15T06:00:00Z,ELIA,Achene - Lonny 380.19 ,10T-BE-FR-000015,OPPOSITE,BE,FR,Achene,Lonny,TieLine,SEASONAL,ELIA,Avelgem - Avelin 380.80 Avelgem - Avelin 380.80,"[{'number': 1, 'branchName': 'Avelgem - Avelin 380.80', 'branchEic': '10T-BE-FR-000031', 'hubFrom': 'BE', 'hubTo': 'FR', 'substationFrom': 'Avelgem', 'substationTo': 'Avelin', 'elementType': 'TieLine'}, {'number': 2, 'branchName': 'Avelgem - Avelin 380.80', 'branchEic': '10T-BE-FR-000031', 'hubFrom': 'BE', 'hubTo': 'FR', 'substationFrom': 'Avelgem', 'substationTo': 'Avelin', 'elementType': 'TieLine'}]",TRUE,1952,70,0.73,"LFcalc = -35,96% ; LFaccept = 18,33% ; MACZT(MCCC + MNCC) = 70,0% ; MNCC_UK = -6,02%",2349,380,1627,190,-1306,-137,-1169,-516,-467,-49,0,0,0,0,-515,1,-0.20998,-0.05495,0.00478,-0.20768,-0.00792,-0.02657,0.10727,0.00378,-0.00156,-0.11508,-0.01403,-0.00055,0.0077,-0.0044
