zone,time,value
Slv_2,1,49.751801994320175
Slv_2,2,44.49255667570844
Slv_2,3,43.12603710258438
Slv_2,4,51.11832156744424
Slv_2,5,43.12603710258438
Slv_2,6,43.12603710258438
Slv_2,7,43.12603710258438
Slv_2,8,43.12603710258438
Slv_2,9,40.43424310237546
Slv_2,10,43.12603710258438
Slv_2,11,43.12603710258438
Slv_2,12,89.17258839260215
Slv_2,13,43.12603710258438
Slv_2,14,46.92783830904409
Slv_2,15,46.92783830904409
Slv_2,16,55.39972936487234
Slv_2,17,46.92783830904409
Slv_2,18,46.92783830904409
Slv_2,19,49.23197329967305
Slv_2,20,98.1417988401266
Slv_2,21,51.14498890506367
Slv_2,22,51.5977520117109
Slv_2,23,39.91166926733217
Slv_2,24,39.91166926733217
Slv_2,25,39.91166926733217
Slv_2,26,39.91166926733217
Slv_2,27,1482.0652028021152
Slv_2,28,51.01468840051505
Slv_2,29,59.290871788793666
Slv_2,30,43.12603710258438
Slv_2,31,38.61196951163561
Slv_2,32,36.8032664038098
Slv_2,33,31.921390905950954
Slv_2,34,31.997772213010208
Slv_2,35,28.600159059031697
Slv_2,36,28.600159059031697
Slv_2,37,29.126976834831467
Slv_2,38,31.997772213010204
Slv_2,39,35.71745359419552
Slv_2,40,38.29154163798825
Slv_2,41,38.29154163798825
Slv_2,42,38.29154163798825
Slv_2,43,36.46869048198934
Slv_2,44,37.58682236739854
Slv_2,45,43.12603710258438
Slv_2,46,56.592902974599
Slv_2,47,43.12603710258438
Slv_2,48,36.46869048198934
Slv_2,49,36.46869048198934
Slv_2,50,43.12603710258438
Slv_2,51,45.79013192420433
Slv_2,52,43.12603710258438
Slv_2,53,36.46869048198934
Slv_2,54,43.12603710258438
Slv_2,55,43.12603710258438
Slv_2,56,43.12603710258438
Slv_2,57,132.55504486099997
Slv_2,58,43.12603710258438
Slv_2,59,45.79013192420433
Slv_2,60,59.06556600262136
Slv_2,61,47.06380287775479
Slv_2,62,43.12603710258438
Slv_2,63,43.12603710258438
Slv_2,64,43.12603710258438
Slv_2,65,43.12603710258438
Slv_2,66,36.46869048198934
Slv_2,67,36.46869048198934
Slv_2,68,36.46869048198934
Slv_2,69,32.9728541956395
Slv_2,70,32.97285419563953
Slv_2,71,32.97285419563953
Slv_2,72,32.9728541956395
Slv_2,73,32.9728541956395
Slv_2,74,32.9728541956395
Slv_2,75,32.97285419563953
Slv_2,76,32.9728541956395
Slv_2,77,32.9728541956395
Slv_2,78,32.97285419563953
Slv_2,79,32.97285419563953
Slv_2,80,40.86453522750127
Slv_2,81,43.12603710258438
Slv_2,82,51.73566894080626
Slv_2,83,51.73566894080626
Slv_2,84,51.73566894080626
Slv_2,85,228.98927063288232
Slv_2,86,51.73566894080626
Slv_2,87,51.73566894080626
Slv_2,88,62.153956727830895
Slv_2,89,52.8213442395699
Slv_2,90,52.8213442395699
Slv_2,91,52.8213442395699
Slv_2,92,46.92783830904409
Slv_2,93,46.92783830904409
Slv_2,94,46.92783830904409
Slv_2,95,46.92783830904409
Slv_2,96,46.92783830904409
Slv_3,1,49.751801994320175
Slv_3,2,44.49255667570844
Slv_3,3,43.12603710258438
Slv_3,4,51.11832156744424
Slv_3,5,43.12603710258438
Slv_3,6,43.12603710258438
Slv_3,7,43.12603710258438
Slv_3,8,43.12603710258438
Slv_3,9,40.43424310237546
Slv_3,10,43.12603710258438
Slv_3,11,43.12603710258438
Slv_3,12,89.17258839260215
Slv_3,13,43.12603710258438
Slv_3,14,46.92783830904409
Slv_3,15,46.92783830904409
Slv_3,16,55.39972936487234
Slv_3,17,46.92783830904409
Slv_3,18,46.92783830904409
Slv_3,19,49.23197329967305
Slv_3,20,98.1417988401266
Slv_3,21,51.14498890506367
Slv_3,22,51.54497148440837
Slv_3,23,11.699367849119254
Slv_3,24,11.699367849119254
Slv_3,25,11.699367849119254
Slv_3,26,11.699367849119254
Slv_3,27,1467.597920327088
Slv_3,28,50.73877061912999
Slv_3,29,59.290871788793666
Slv_3,30,43.12603710258438
Slv_3,31,38.6078089453517
Slv_3,32,36.800929417380424
Slv_3,33,31.895503470292308
Slv_3,34,31.971822834055363
Slv_3,35,28.576965057879022
Slv_3,36,28.576965057879022
Slv_3,37,29.10335559786958
Slv_3,38,31.97182283405536
Slv_3,39,35.69794182101791
Slv_3,40,38.27880916641301
Slv_3,41,38.27880916641301
Slv_3,42,38.27880916641301
Slv_3,43,36.46869048198934
Slv_3,44,37.58682236739854
Slv_3,45,43.12603710258438
Slv_3,46,56.592902974599
Slv_3,47,43.12603710258438
Slv_3,48,36.46869048198934
Slv_3,49,36.46869048198934
Slv_3,50,43.12603710258438
Slv_3,51,45.79013192420433
Slv_3,52,43.12603710258438
Slv_3,53,36.46869048198934
Slv_3,54,43.12603710258438
Slv_3,55,43.12603710258438
Slv_3,56,43.12603710258438
Slv_3,57,132.55504486099997
Slv_3,58,43.12603710258438
Slv_3,59,45.79013192420433
Slv_3,60,59.06556600262136
Slv_3,61,47.06380287775479
Slv_3,62,43.12603710258438
Slv_3,63,43.12603710258438
Slv_3,64,43.12603710258438
Slv_3,65,43.12603710258438
Slv_3,66,36.46869048198934
Slv_3,67,36.46869048198934
Slv_3,68,36.46869048198934
Slv_3,69,32.94611405001156
Slv_3,70,32.94611405001159
Slv_3,71,32.94611405001159
Slv_3,72,32.94611405001156
Slv_3,73,32.94611405001156
Slv_3,74,32.94611405001156
Slv_3,75,32.94611405001159
Slv_3,76,32.94611405001156
Slv_3,77,32.94611405001156
Slv_3,78,32.94611405001159
Slv_3,79,32.94611405001159
Slv_3,80,38.22991300868017
Slv_3,81,43.12603710258438
Slv_3,82,51.73566894080626
Slv_3,83,51.73566894080626
Slv_3,84,51.73566894080626
Slv_3,85,228.98927063288232
Slv_3,86,51.73566894080626
Slv_3,87,51.73566894080626
Slv_3,88,62.153956727830895
Slv_3,89,52.8213442395699
Slv_3,90,52.8213442395699
Slv_3,91,52.8213442395699
Slv_3,92,46.92783830904409
Slv_3,93,46.92783830904409
Slv_3,94,46.92783830904409
Slv_3,95,46.92783830904409
Slv_3,96,46.92783830904409
Slv_4,1,49.751801994320175
Slv_4,2,44.49255667570844
Slv_4,3,43.12603710258438
Slv_4,4,51.11832156744424
Slv_4,5,43.12603710258438
Slv_4,6,43.12603710258438
Slv_4,7,43.12603710258438
Slv_4,8,43.12603710258438
Slv_4,9,40.43424310237546
Slv_4,10,43.12603710258438
Slv_4,11,43.12603710258438
Slv_4,12,89.17258839260215
Slv_4,13,43.12603710258438
Slv_4,14,46.92783830904409
Slv_4,15,46.92783830904409
Slv_4,16,55.39972936487234
Slv_4,17,46.92783830904409
Slv_4,18,46.92783830904409
Slv_4,19,49.23197329967305
Slv_4,20,98.1417988401266
Slv_4,21,51.14498890506367
Slv_4,22,51.59945826854325
Slv_4,23,40.82369941389089
Slv_4,24,40.82369941389089
Slv_4,25,40.82369941389089
Slv_4,26,40.82369941389089
Slv_4,27,1482.5328923238033
Slv_4,28,51.02360810298329
Slv_4,29,59.290871788793666
Slv_4,30,43.12603710258438
Slv_4,31,38.612104011895674
Slv_4,32,36.803341952487806
Slv_4,33,31.922227779249177
Slv_4,34,31.998611088773693
Slv_4,35,28.600908860614968
Slv_4,36,28.600908860614968
Slv_4,37,29.127740447834515
Slv_4,38,31.99861108877369
Slv_4,39,35.71808435894907
Slv_4,40,38.29195324559675
Slv_4,41,38.29195324559675
Slv_4,42,38.29195324559675
Slv_4,43,36.46869048198934
Slv_4,44,37.58682236739854
Slv_4,45,43.12603710258438
Slv_4,46,56.592902974599
Slv_4,47,43.12603710258438
Slv_4,48,36.46869048198934
Slv_4,49,36.46869048198934
Slv_4,50,43.12603710258438
Slv_4,51,45.79013192420433
Slv_4,52,43.12603710258438
Slv_4,53,36.46869048198934
Slv_4,54,43.12603710258438
Slv_4,55,43.12603710258438
Slv_4,56,43.12603710258438
Slv_4,57,132.55504486099997
Slv_4,58,43.12603710258438
Slv_4,59,45.79013192420433
Slv_4,60,59.06556600262136
Slv_4,61,47.06380287775479
Slv_4,62,43.12603710258438
Slv_4,63,43.12603710258438
Slv_4,64,43.12603710258438
Slv_4,65,43.12603710258438
Slv_4,66,36.46869048198934
Slv_4,67,36.46869048198934
Slv_4,68,36.46869048198934
Slv_4,69,32.97371863482775
Slv_4,70,32.973718634827776
Slv_4,71,32.973718634827776
Slv_4,72,32.97371863482775
Slv_4,73,32.97371863482775
Slv_4,74,32.97371863482775
Slv_4,75,32.973718634827776
Slv_4,76,32.97371863482775
Slv_4,77,32.97371863482775
Slv_4,78,32.973718634827776
Slv_4,79,32.973718634827776
Slv_4,80,38.94895779490155
Slv_4,81,43.12603710258438
Slv_4,82,51.73566894080626
Slv_4,83,51.73566894080626
Slv_4,84,51.73566894080626
Slv_4,85,228.98927063288232
Slv_4,86,51.73566894080626
Slv_4,87,51.73566894080626
Slv_4,88,62.153956727830895
Slv_4,89,52.8213442395699
Slv_4,90,52.8213442395699
Slv_4,91,52.8213442395699
Slv_4,92,46.92783830904409
Slv_4,93,46.92783830904409
Slv_4,94,46.92783830904409
Slv_4,95,46.92783830904409
Slv_4,96,46.92783830904409
Slv_5,1,49.751801994320175
Slv_5,2,44.49255667570844
Slv_5,3,43.12603710258438
Slv_5,4,51.11832156744424
Slv_5,5,43.12603710258438
Slv_5,6,43.12603710258438
Slv_5,7,43.12603710258438
Slv_5,8,43.12603710258438
Slv_5,9,40.43424310237546
Slv_5,10,43.12603710258438
Slv_5,11,43.12603710258438
Slv_5,12,89.17258839260215
Slv_5,13,43.12603710258438
Slv_5,14,46.92783830904409
Slv_5,15,46.92783830904409
Slv_5,16,55.39972936487234
Slv_5,17,46.92783830904409
Slv_5,18,46.92783830904409
Slv_5,19,49.23197329967305
Slv_5,20,98.1417988401266
Slv_5,21,51.14498890506367
Slv_5,22,51.59945826854325
Slv_5,23,40.82369941389089
Slv_5,24,40.82369941389089
Slv_5,25,40.82369941389089
Slv_5,26,40.82369941389089
Slv_5,27,1482.5328923238033
Slv_5,28,51.02360810298329
Slv_5,29,59.290871788793666
Slv_5,30,43.12603710258438
Slv_5,31,38.612104011895674
Slv_5,32,36.803341952487806
Slv_5,33,31.922227779249177
Slv_5,34,31.998611088773693
Slv_5,35,28.600908860614968
Slv_5,36,28.600908860614968
Slv_5,37,29.127740447834515
Slv_5,38,31.99861108877369
Slv_5,39,35.71808435894907
Slv_5,40,38.29195324559675
Slv_5,41,38.29195324559675
Slv_5,42,38.29195324559675
Slv_5,43,36.46869048198934
Slv_5,44,37.58682236739854
Slv_5,45,43.12603710258438
Slv_5,46,56.592902974599
Slv_5,47,43.12603710258438
Slv_5,48,36.46869048198934
Slv_5,49,36.46869048198934
Slv_5,50,43.12603710258438
Slv_5,51,45.79013192420433
Slv_5,52,43.12603710258438
Slv_5,53,36.46869048198934
Slv_5,54,43.12603710258438
Slv_5,55,43.12603710258438
Slv_5,56,43.12603710258438
Slv_5,57,132.55504486099997
Slv_5,58,43.12603710258438
Slv_5,59,45.79013192420433
Slv_5,60,59.06556600262136
Slv_5,61,47.06380287775479
Slv_5,62,43.12603710258438
Slv_5,63,43.12603710258438
Slv_5,64,43.12603710258438
Slv_5,65,43.12603710258438
Slv_5,66,36.46869048198934
Slv_5,67,36.46869048198934
Slv_5,68,36.46869048198934
Slv_5,69,32.97371863482775
Slv_5,70,32.973718634827776
Slv_5,71,32.973718634827776
Slv_5,72,32.97371863482775
Slv_5,73,32.97371863482775
Slv_5,74,32.97371863482775
Slv_5,75,32.973718634827776
Slv_5,76,32.97371863482775
Slv_5,77,32.97371863482775
Slv_5,78,32.973718634827776
Slv_5,79,32.973718634827776
Slv_5,80,38.94895779490155
Slv_5,81,43.12603710258438
Slv_5,82,51.73566894080626
Slv_5,83,51.73566894080626
Slv_5,84,51.73566894080626
Slv_5,85,228.98927063288232
Slv_5,86,51.73566894080626
Slv_5,87,51.73566894080626
Slv_5,88,62.153956727830895
Slv_5,89,52.8213442395699
Slv_5,90,52.8213442395699
Slv_5,91,52.8213442395699
Slv_5,92,46.92783830904409
Slv_5,93,46.92783830904409
Slv_5,94,46.92783830904409
Slv_5,95,46.92783830904409
Slv_5,96,46.92783830904409
Slv_6,1,49.751801994320175
Slv_6,2,44.49255667570844
Slv_6,3,43.12603710258438
Slv_6,4,51.11832156744424
Slv_6,5,43.12603710258438
Slv_6,6,43.12603710258438
Slv_6,7,43.12603710258438
Slv_6,8,43.12603710258438
Slv_6,9,40.43424310237546
Slv_6,10,43.12603710258438
Slv_6,11,43.12603710258438
Slv_6,12,89.17258839260215
Slv_6,13,43.12603710258438
Slv_6,14,46.92783830904409
Slv_6,15,46.92783830904409
Slv_6,16,55.39972936487234
Slv_6,17,46.92783830904409
Slv_6,18,46.92783830904409
Slv_6,19,49.23197329967305
Slv_6,20,98.1417988401266
Slv_6,21,51.14498890506367
Slv_6,22,52.36124618016654
Slv_6,23,448.01535281059904
Slv_6,24,448.01535281059904
Slv_6,25,448.01535281059904
Slv_6,26,448.01535281059904
Slv_6,27,1691.3409786914208
Slv_6,28,55.005963740627394
Slv_6,29,59.290871788793666
Slv_6,30,43.12603710258438
Slv_6,31,38.672153982265
Slv_6,32,36.83707196813017
Slv_6,33,32.2958643561378
Slv_6,34,32.37314170095645
Slv_6,35,28.935670762462248
Slv_6,36,28.935670762462248
Slv_6,37,29.46866869722517
Slv_6,38,32.37314170095645
Slv_6,39,35.999700206700055
Slv_6,40,38.47572259059623
Slv_6,41,38.47572259059623
Slv_6,42,38.47572259059623
Slv_6,43,36.46869048198934
Slv_6,44,37.58682236739854
Slv_6,45,43.12603710258438
Slv_6,46,56.592902974599
Slv_6,47,43.12603710258438
Slv_6,48,36.46869048198934
Slv_6,49,36.46869048198934
Slv_6,50,43.12603710258438
Slv_6,51,45.79013192420433
Slv_6,52,43.12603710258438
Slv_6,53,36.46869048198934
Slv_6,54,43.12603710258438
Slv_6,55,43.12603710258438
Slv_6,56,43.12603710258438
Slv_6,57,132.55504486099997
Slv_6,58,43.12603710258438
Slv_6,59,45.79013192420433
Slv_6,60,59.06556600262136
Slv_6,61,47.06380287775479
Slv_6,62,43.12603710258438
Slv_6,63,43.12603710258438
Slv_6,64,43.12603710258438
Slv_6,65,43.12603710258438
Slv_6,66,36.46869048198934
Slv_6,67,36.46869048198934
Slv_6,68,36.46869048198934
Slv_6,69,33.35966248070226
Slv_6,70,33.35966248070229
Slv_6,71,33.35966248070229
Slv_6,72,33.35966248070226
Slv_6,73,33.35966248070226
Slv_6,74,33.35966248070226
Slv_6,75,33.35966248070229
Slv_6,76,33.35966248070226
Slv_6,77,33.35966248070226
Slv_6,78,33.35966248070229
Slv_6,79,33.35966248070229
Slv_6,80,39.057348537784854
Slv_6,81,43.12603710258438
Slv_6,82,51.73566894080626
Slv_6,83,51.73566894080626
Slv_6,84,51.73566894080626
Slv_6,85,228.98927063288232
Slv_6,86,51.73566894080626
Slv_6,87,51.73566894080626
Slv_6,88,62.153956727830895
Slv_6,89,52.8213442395699
Slv_6,90,52.8213442395699
Slv_6,91,52.8213442395699
Slv_6,92,46.92783830904409
Slv_6,93,46.92783830904409
Slv_6,94,46.92783830904409
Slv_6,95,46.92783830904409
Slv_6,96,46.92783830904409
Slv_7,1,49.751801994320175
Slv_7,2,44.49255667570844
Slv_7,3,43.12603710258438
Slv_7,4,51.11832156744424
Slv_7,5,43.12603710258438
Slv_7,6,43.12603710258438
Slv_7,7,43.12603710258438
Slv_7,8,43.12603710258438
Slv_7,9,40.43424310237546
Slv_7,10,43.12603710258438
Slv_7,11,43.12603710258438
Slv_7,12,89.17258839260215
Slv_7,13,43.12603710258438
Slv_7,14,46.92783830904409
Slv_7,15,46.92783830904409
Slv_7,16,55.39972936487234
Slv_7,17,46.92783830904409
Slv_7,18,46.92783830904409
Slv_7,19,49.23197329967305
Slv_7,20,98.1417988401266
Slv_7,21,51.14498890506367
Slv_7,22,51.657317706056894
Slv_7,23,71.75078511098457
Slv_7,24,71.75078511098457
Slv_7,25,71.75078511098457
Slv_7,26,71.75078511098457
Slv_7,27,1498.3923175538334
Slv_7,28,51.32607661640768
Slv_7,29,59.290871788793666
Slv_7,30,43.12603710258438
Slv_7,31,38.61666493686609
Slv_7,32,36.80590382003994
Slv_7,33,31.950606284399296
Slv_7,34,32.027057497835706
Slv_7,35,28.62633475021803
Slv_7,36,28.62633475021803
Slv_7,37,29.153634684854133
Slv_7,38,32.027057497835706
Slv_7,39,35.739473690936606
Slv_7,40,38.3059109243308
Slv_7,41,38.3059109243308
Slv_7,42,38.3059109243308
Slv_7,43,36.46869048198934
Slv_7,44,37.58682236739854
Slv_7,45,43.12603710258438
Slv_7,46,56.592902974599
Slv_7,47,43.12603710258438
Slv_7,48,36.46869048198934
Slv_7,49,36.46869048198934
Slv_7,50,43.12603710258438
Slv_7,51,45.79013192420433
Slv_7,52,43.12603710258438
Slv_7,53,36.46869048198934
Slv_7,54,43.12603710258438
Slv_7,55,43.12603710258438
Slv_7,56,43.12603710258438
Slv_7,57,132.55504486099997
Slv_7,58,43.12603710258438
Slv_7,59,45.79013192420433
Slv_7,60,59.06556600262136
Slv_7,61,47.06380287775479
Slv_7,62,43.12603710258438
Slv_7,63,43.12603710258438
Slv_7,64,43.12603710258438
Slv_7,65,43.12603710258438
Slv_7,66,36.46869048198934
Slv_7,67,36.46869048198934
Slv_7,68,36.46869048198934
Slv_7,69,33.003031903643695
Slv_7,70,33.00303190364372
Slv_7,71,33.00303190364372
Slv_7,72,33.003031903643695
Slv_7,73,33.003031903643695
Slv_7,74,33.003031903643695
Slv_7,75,33.00303190364372
Slv_7,76,33.003031903643695
Slv_7,77,33.003031903643695
Slv_7,78,33.00303190364372
Slv_7,79,33.00303190364372
Slv_7,80,39.712510416669396
Slv_7,81,43.12603710258438
Slv_7,82,51.73566894080626
Slv_7,83,51.73566894080626
Slv_7,84,51.73566894080626
Slv_7,85,228.98927063288232
Slv_7,86,51.73566894080626
Slv_7,87,51.73566894080626
Slv_7,88,62.153956727830895
Slv_7,89,52.8213442395699
Slv_7,90,52.8213442395699
Slv_7,91,52.8213442395699
Slv_7,92,46.92783830904409
Slv_7,93,46.92783830904409
Slv_7,94,46.92783830904409
Slv_7,95,46.92783830904409
Slv_7,96,46.92783830904409
Cro_1,1,49.751801994320175
Cro_1,2,44.49255667570844
Cro_1,3,43.12603710258438
Cro_1,4,51.11832156744424
Cro_1,5,43.12603710258438
Cro_1,6,43.12603710258438
Cro_1,7,43.12603710258438
Cro_1,8,43.12603710258438
Cro_1,9,40.43424310237546
Cro_1,10,43.12603710258438
Cro_1,11,43.12603710258438
Cro_1,12,89.17258839260215
Cro_1,13,43.12603710258438
Cro_1,14,46.92783830904409
Cro_1,15,46.92783830904409
Cro_1,16,55.39972936487234
Cro_1,17,46.92783830904409
Cro_1,18,46.92783830904409
Cro_1,19,49.23197329967305
Cro_1,20,98.1417988401266
Cro_1,21,51.14498890506367
Cro_1,22,51.73566894080626
Cro_1,23,113.6311672179744
Cro_1,24,113.6311672179744
Cro_1,25,113.6311672179744
Cro_1,26,113.6311672179744
Cro_1,27,1519.8685987377833
Cro_1,28,51.73566894080626
Cro_1,29,59.290871788793666
Cro_1,30,43.12603710258438
Cro_1,31,38.62284118258135
Cro_1,32,36.80937301183646
Cro_1,33,31.989035467509286
Cro_1,34,32.06557863405776
Cro_1,35,28.660765604208464
Cro_1,36,28.660765604208464
Cro_1,37,29.188699758601203
Cro_1,38,32.06557863405776
Cro_1,39,35.768438379217436
Cro_1,40,38.32481192665717
Cro_1,41,38.32481192665717
Cro_1,42,38.32481192665717
Cro_1,43,36.46869048198934
Cro_1,44,37.58682236739854
Cro_1,45,43.12603710258438
Cro_1,46,56.592902974599
Cro_1,47,43.12603710258438
Cro_1,48,36.46869048198934
Cro_1,49,36.46869048198934
Cro_1,50,43.12603710258438
Cro_1,51,45.79013192420433
Cro_1,52,43.12603710258438
Cro_1,53,36.46869048198934
Cro_1,54,43.12603710258438
Cro_1,55,43.12603710258438
Cro_1,56,43.12603710258438
Cro_1,57,132.55504486099997
Cro_1,58,43.12603710258438
Cro_1,59,45.79013192420433
Cro_1,60,59.06556600262136
Cro_1,61,47.06380287775479
Cro_1,62,43.12603710258438
Cro_1,63,43.12603710258438
Cro_1,64,43.12603710258438
Cro_1,65,43.12603710258438
Cro_1,66,36.46869048198934
Cro_1,67,36.46869048198934
Cro_1,68,36.46869048198934
Cro_1,69,33.04272691114749
Cro_1,70,33.04272691114752
Cro_1,71,33.04272691114752
Cro_1,72,33.04272691114749
Cro_1,73,33.04272691114749
Cro_1,74,33.04272691114749
Cro_1,75,33.04272691114752
Cro_1,76,33.04272691114749
Cro_1,77,33.04272691114749
Cro_1,78,33.04272691114752
Cro_1,79,33.04272691114752
Cro_1,80,40.26036070459679
Cro_1,81,43.12603710258438
Cro_1,82,51.73566894080626
Cro_1,83,51.73566894080626
Cro_1,84,51.73566894080626
Cro_1,85,228.98927063288232
Cro_1,86,51.73566894080626
Cro_1,87,51.73566894080626
Cro_1,88,62.153956727830895
Cro_1,89,52.8213442395699
Cro_1,90,52.8213442395699
Cro_1,91,52.8213442395699
Cro_1,92,46.92783830904409
Cro_1,93,46.92783830904409
Cro_1,94,46.92783830904409
Cro_1,95,46.92783830904409
Cro_1,96,46.92783830904409
Cro_2,1,49.751801994320175
Cro_2,2,44.49255667570844
Cro_2,3,43.12603710258438
Cro_2,4,51.11832156744424
Cro_2,5,43.12603710258438
Cro_2,6,43.12603710258438
Cro_2,7,43.12603710258438
Cro_2,8,43.12603710258438
Cro_2,9,40.43424310237546
Cro_2,10,43.12603710258438
Cro_2,11,43.12603710258438
Cro_2,12,89.17258839260215
Cro_2,13,43.12603710258438
Cro_2,14,46.92783830904409
Cro_2,15,46.92783830904409
Cro_2,16,55.39972936487234
Cro_2,17,46.92783830904409
Cro_2,18,46.92783830904409
Cro_2,19,49.23197329967305
Cro_2,20,98.1417988401266
Cro_2,21,51.14498890506367
Cro_2,22,51.68807329074663
Cro_2,23,88.19029168481478
Cro_2,24,88.19029168481478
Cro_2,25,88.19029168481478
Cro_2,26,88.19029168481478
Cro_2,27,1506.8225048621302
Cro_2,28,51.48685584932727
Cro_2,29,59.290871788793666
Cro_2,30,43.12603710258438
Cro_2,31,38.61908932811873
Cro_2,32,36.80726559847833
Cro_2,33,31.96569107533434
Cro_2,34,32.04217838356536
Cro_2,35,28.639850057912035
Cro_2,36,28.639850057912035
Cro_2,37,29.167398945860736
Cro_2,38,32.04217838356536
Cro_2,39,35.75084333847672
Cro_2,40,38.31333022511948
Cro_2,41,38.31333022511948
Cro_2,42,38.31333022511948
Cro_2,43,36.46869048198934
Cro_2,44,37.58682236739854
Cro_2,45,43.12603710258438
Cro_2,46,56.592902974599
Cro_2,47,43.12603710258438
Cro_2,48,36.46869048198934
Cro_2,49,36.46869048198934
Cro_2,50,43.12603710258438
Cro_2,51,45.79013192420433
Cro_2,52,43.12603710258438
Cro_2,53,36.46869048198934
Cro_2,54,43.12603710258438
Cro_2,55,43.12603710258438
Cro_2,56,43.12603710258438
Cro_2,57,132.55504486099997
Cro_2,58,43.12603710258438
Cro_2,59,45.79013192420433
Cro_2,60,59.06556600262136
Cro_2,61,47.06380287775479
Cro_2,62,43.12603710258438
Cro_2,63,43.12603710258438
Cro_2,64,43.12603710258438
Cro_2,65,43.12603710258438
Cro_2,66,36.46869048198934
Cro_2,67,36.46869048198934
Cro_2,68,36.46869048198934
Cro_2,69,33.0186135746786
Cro_2,70,33.018613574678625
Cro_2,71,33.018613574678625
Cro_2,72,33.0186135746786
Cro_2,73,33.0186135746786
Cro_2,74,33.0186135746786
