generator,time,value
Krsko Nuclear Power Reactor Slovenia,3,1.0
Krsko Nuclear Power Reactor Slovenia,4,1.0
Krsko Nuclear Power Reactor Slovenia,5,1.0
Krsko Nuclear Power Reactor Slovenia,6,1.0
Krsko Nuclear Power Reactor Slovenia,7,1.0
Krsko Nuclear Power Reactor Slovenia,8,1.0
Krsko Nuclear Power Reactor Slovenia,9,1.0
Krsko Nuclear Power Reactor Slovenia,10,1.0
Krsko Nuclear Power Reactor Slovenia,11,1.0
Krsko Nuclear Power Reactor Slovenia,12,1.0
Krsko Nuclear Power Reactor Slovenia,13,1.0
Krsko Nuclear Power Reactor Slovenia,14,1.0
Krsko Nuclear Power Reactor Slovenia,15,1.0
Krsko Nuclear Power Reactor Slovenia,16,1.0
Krsko Nuclear Power Reactor Slovenia,17,1.0
Krsko Nuclear Power Reactor Slovenia,18,1.0
Krsko Nuclear Power Reactor Slovenia,19,1.0
Krsko Nuclear Power Reactor Slovenia,20,1.0
Krsko Nuclear Power Reactor Slovenia,21,1.0
Krsko Nuclear Power Reactor Slovenia,22,1.0
Krsko Nuclear Power Reactor Slovenia,23,1.0
Krsko Nuclear Power Reactor Slovenia,24,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,1,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,2,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,3,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,4,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,5,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,6,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,7,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,8,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,9,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,10,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,11,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,12,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,13,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,14,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,15,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,16,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,17,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,18,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,19,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,20,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,21,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,22,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,23,1.0
Ljubljana (TE-TOL) Coal CHPP Slovenia,24,1.0
Sostanj (TES) Coal Power Plant Slovenia,1,1.0
Sostanj (TES) Coal Power Plant Slovenia,2,1.0
Sostanj (TES) Coal Power Plant Slovenia,3,1.0
Sostanj (TES) Coal Power Plant Slovenia,4,1.0
Sostanj (TES) Coal Power Plant Slovenia,5,1.0
Sostanj (TES) Coal Power Plant Slovenia,6,1.0
Sostanj (TES) Coal Power Plant Slovenia,7,1.0
Sostanj (TES) Coal Power Plant Slovenia,8,1.0
Sostanj (TES) Coal Power Plant Slovenia,9,1.0
Sostanj (TES) Coal Power Plant Slovenia,10,1.0
Sostanj (TES) Coal Power Plant Slovenia,11,1.0
Sostanj (TES) Coal Power Plant Slovenia,12,1.0
Sostanj (TES) Coal Power Plant Slovenia,13,1.0
Sostanj (TES) Coal Power Plant Slovenia,14,1.0
Sostanj (TES) Coal Power Plant Slovenia,15,1.0
Sostanj (TES) Coal Power Plant Slovenia,16,1.0
Sostanj (TES) Coal Power Plant Slovenia,17,1.0
Sostanj (TES) Coal Power Plant Slovenia,18,1.0
Sostanj (TES) Coal Power Plant Slovenia,19,1.0
Sostanj (TES) Coal Power Plant Slovenia,20,1.0
Sostanj (TES) Coal Power Plant Slovenia,21,1.0
Sostanj (TES) Coal Power Plant Slovenia,22,1.0
Sostanj (TES) Coal Power Plant Slovenia,23,1.0
Sostanj (TES) Coal Power Plant Slovenia,24,1.0
Trbovlje (TES) Coal Power Plant Slovenia,1,1.0
Trbovlje (TES) Coal Power Plant Slovenia,2,1.0
Trbovlje (TES) Coal Power Plant Slovenia,3,1.0
Trbovlje (TES) Coal Power Plant Slovenia,4,1.0
Trbovlje (TES) Coal Power Plant Slovenia,5,1.0
Trbovlje (TES) Coal Power Plant Slovenia,6,1.0
Trbovlje (TES) Coal Power Plant Slovenia,7,1.0
Trbovlje (TES) Coal Power Plant Slovenia,8,1.0
Trbovlje (TES) Coal Power Plant Slovenia,9,1.0
Trbovlje (TES) Coal Power Plant Slovenia,10,1.0
Trbovlje (TES) Coal Power Plant Slovenia,11,1.0
Trbovlje (TES) Coal Power Plant Slovenia,12,1.0
Trbovlje (TES) Coal Power Plant Slovenia,13,1.0
Trbovlje (TES) Coal Power Plant Slovenia,14,1.0
Trbovlje (TES) Coal Power Plant Slovenia,15,1.0
Trbovlje (TES) Coal Power Plant Slovenia,16,1.0
Trbovlje (TES) Coal Power Plant Slovenia,17,1.0
Trbovlje (TES) Coal Power Plant Slovenia,18,1.0
Trbovlje (TES) Coal Power Plant Slovenia,19,1.0
Trbovlje (TES) Coal Power Plant Slovenia,20,1.0
Trbovlje (TES) Coal Power Plant Slovenia,21,1.0
Trbovlje (TES) Coal Power Plant Slovenia,22,1.0
Trbovlje (TES) Coal Power Plant Slovenia,23,1.0
Trbovlje (TES) Coal Power Plant Slovenia,24,1.0
