Line,Slv_2,Slv_3,Slv_4,Slv_5,Slv_6,Slv_7,Cro_1,Cro_2,Cro_3,Cro_4,Cro_5,Cro_6,Cro_7,Cro_8,Cro_9,Cro_10,Cro_11,Cro_12,Cro_13,Cro_14,Cro_15,Cro_16,Cro_18,Aus_1,Aus_2,Aus_3,Aus_4,Aus_5,Aus_6,Aus_7,Aus_8,Aus_9,Aus_10,Aus_11,Aus_12,Aus_13,Aus_14,Aus_15,Aus_16,Aus_17,Aus_18,Aus_19,Aus_20,Aus_21,Aus_22,Aus_23,Aus_24,Aus_25,Aus_26,Aus_27,Aus_28,Aus_29,Aus_30,Aus_31,Aus_32,Aus_33,Aus_34,Aus_35,Aus_36
Cro_16.To.Cro_5,-0.03442733379816075,-0.013679273414098572,0.054843352988012496,0.054843352988012496,0.016757310408078162,0.12760743116831533,0.0820729890903648,0.05876009052976111,0.41279391770113255,0.7010617425943627,0.7010617425943627,0.7010617425943644,0.7010617425943642,-0.04863363009462308,-0.20345050883147664,0.08207298909036648,0.08207298909036825,-0.20345050883147645,-0.20345050883147645,0.17417918819107267,0.1741791881910709,-0.23856707351208575,0.7010617425943643,-0.011628326621074166,-0.011479207827731796,-0.011628326621074263,-0.011278458133003478,-0.011449173161060084,-0.011333184134377566,-0.011588672846080403,-0.011491837158378848,-0.011577501745961815,-0.01006991200367043,-0.011510084388640143,-0.012053535306710297,-0.011628326621074362,-0.011628326621073425,-0.011278458133003526,-0.011628326621074313,-0.011628326621074263,-0.008781572098965634,-0.011628326621074313,-0.011628326621072486,-0.0120373701838016,-0.012295219742947883,-0.011628326621073425,-0.011330923369500956,-0.0120373701838016,-0.012781867750988241,-0.012116855405785375,-0.011628326621074166,-0.012477272986372207,-0.011479207827731746,-0.010974262020344504,-0.010974262020344504,-0.01134216335220577,-0.011449173161060035,-0.011292445283976917,-0.0114242301432278
Cro_16.To.Cro_9,0.06558880781153865,0.026060898012578798,-0.10448413344931153,-0.10448413344931153,-0.03192498199940255,-0.24310971413852878,-0.15636033680464784,-0.3915829877891872,-0.41865094417133936,-0.5235319439222621,-0.5235319439222621,-0.5235319439222628,-0.5235319439222615,0.09265375692915248,0.38760121248832197,-0.15636033680464678,-0.15636033680464678,0.38760121248832163,0.38760121248832163,-0.33183531916851466,-0.33183531916851555,-0.5454969000364137,-0.5235319439222618,0.022153562177975403,0.02186947035910392,0.022153562177975566,0.021487014569092685,0.02181225018656314,0.021591275131571185,0.022078016280568498,0.021893530971681847,0.022056733797789756,0.019184567906424404,0.021928294456001144,0.02296364322943109,0.022153562177975282,0.022153562177975202,0.021487014569092768,0.022153562177975202,0.022153562177975566,0.016730103122682766,0.02215356217797609,0.022153562177976455,0.02293284644609666,0.023424085334309827,0.02215356217797609,0.021586968063416423,0.02293284644609666,0.024351216748506366,0.023084276730508443,0.022153562177975403,0.023770921812104988,0.021869470359103395,0.02090747911952399,0.02090747911952399,0.021608381777001272,0.021812250186563062,0.021513662016218058,0.02176473030563427
Cro_7.To.Cro_18,9.212054906794105e-16,-1.7918984839000164e-16,5.28928262961497e-16,5.28928262961497e-16,2.666709034679299e-16,8.215170289169152e-16,8.495812088556218e-16,1.4643897823922047e-15,1.0593421984553717e-15,1.402206841150204e-15,1.402206841150204e-15,-0.289197609970846,-0.38252671148267,8.935880703049256e-16,1.0045973434989106e-15,8.495812088556218e-16,8.495812088556218e-16,1.2828458788236491e-15,1.2828458788236491e-15,1.1037210070905703e-15,1.1037210070905703e-15,6.875844304554682e-16,0.43614386659740567,1.2466191209372808e-15,3.2471551809271744e-16,1.6211461969561587e-15,1.2375598983113389e-15,5.0750193388478715e-16,5.215882249877805e-16,2.04840604707594e-16,3.8283398568096793e-16,4.2537029341152374e-16,2.6203870110817957e-16,3.481305661083952e-16,5.469396413046723e-16,1.063003208123243e-17,5.938435095936643e-16,7.239085546300916e-16,5.938435095936643e-16,6.6340564342484895e-16,2.7193339995976853e-17,5.242813757624797e-16,1.2466191209372808e-15,-2.1240230053399103e-16,7.025752832623753e-16,6.6340564342484895e-16,8.417613033523208e-16,-2.1240230053399103e-16,1.115647018382474e-16,-2.901313109469812e-17,3.584407012371556e-16,1.616008080728873e-17,8.383668617739647e-16,3.80688346562111e-16,3.80688346562111e-16,1.2445877267894402e-15,1.0211532775660344e-15,1.0839402353259293e-15,1.0987363244981847e-15
Slv_2.To.Cro_8,-0.19511865908351214,-0.09758457823949736,0.1453944772077289,0.1453944772077289,0.1195425384885682,0.403413585859307,0.5854885550414652,0.5861570339282947,0.5941311698972378,0.625028787019304,0.625028787019304,0.6250287870193035,0.6250287870193041,0.7380992887234306,0.6512086834218286,0.5854885550414657,0.5854885550414661,0.651208683421828,0.651208683421828,0.5685555561261976,0.568555556126198,0.6314995949419004,0.6250287870193044,-0.0829536273307545,-0.0818898504680935,-0.08295362733075354,-0.08045775143046786,-0.08167559052964285,-0.08084815328889851,-0.08267074703504729,-0.08197994501240062,-0.08259105514933877,-0.0718362800449859,-0.08211011627333718,-0.08598696170426381,-0.08295362733075425,-0.08295362733075393,-0.08045775143046824,-0.08295362733075386,-0.08295362733075354,-0.06264557945556266,-0.08295362733075386,-0.0829536273307545,-0.0858716436860056,-0.08771107913822834,-0.08295362733075348,-0.08083202554728759,-0.0858716436860056,-0.09118270655426317,-0.08643867174581583,-0.0829536273307545,-0.08900980228228114,-0.08188985046809355,-0.07828769104368946,-0.07828769104368946,-0.08091220882446092,-0.0816755905296429,-0.08055753233163483,-0.08149765316400719
Slv_3.To.Aus_26,-0.15622350931639784,-0.16514735679722758,-0.1559350245946036,-0.1559350245946036,-0.02713602459408246,-0.14615246231100182,-0.13290525724178412,-0.140952473584444,-0.1414332466322642,-0.14329611197742756,-0.14329611197742756,-0.14329611197742675,-0.14329611197742703,-0.1501133082146855,-0.1448745386099904,-0.13290525724178412,-0.13290525724178412,-0.14487453860999047,-0.14487453860999047,-0.1398912531384901,-0.1398912531384901,-0.14368624704145455,-0.14329611197742712,0.7096823728680858,0.7005815811078273,0.7096823728680852,0.6883297305750982,0.6987485509387666,0.6916696847902216,0.7072622838863919,0.7013523552384316,0.7065805062671613,0.6145715783719704,0.7024659924874982,0.7356330636957622,0.7096823728680841,0.7096823728680848,0.6883297305750978,0.7096823728680844,0.7096823728680851,0.5359435736360797,0.7096823728680844,0.7096823728680858,0.734646498460881,0.7503831812133552,0.7096823728680843,0.691531709221173,0.734646498460881,0.7800835434711966,0.7394975198317016,0.7096823728680853,0.7614939783204548,0.7005815811078272,0.6697644953453534,0.6697644953453534,0.6922176907778514,0.698748550938767,0.6891833731340243,0.6972262665501324
Cro_6.To.Cro_7,-8.609106319278866e-16,-4.688004792914597e-16,-1.1383913577710286e-15,-1.1383913577710286e-15,-2.9344555725428085e-16,-1.4748321425786553e-15,-1.4613152203748905e-15,-2.165280750654868e-15,-2.441354324313824e-15,-1.6863102706172122e-15,-1.6863102706172122e-15,-0.5953019203937782,0.2125837901270802,-7.064041199321803e-16,-2.1154022425881745e-15,-1.4613152203748905e-15,-1.905404430224953e-15,-1.629248902784132e-15,-1.629248902784132e-15,-1.958599690765659e-15,-1.0704212710655337e-15,-1.9600955452160608e-15,0.15015567138877595,-1.3255548942266029e-15,-9.34409478530451e-16,-1.3465869592035927e-15,-1.3215549341509769e-15,-1.1280460054060549e-15,-1.3793161031898427e-15,-6.000173608404003e-16,-1.0528190512492632e-15,-9.850021661579309e-16,-1.0391672364823357e-15,-1.3669704866540604e-15,-1.333788280965004e-15,-1.0240360843045407e-15,-1.3465869592035927e-15,-1.0995103292259456e-15,-1.1245423542785614e-15,-1.0030040193275509e-15,-6.865562188121174e-16,-1.4681252941546033e-15,-1.3255548942266029e-15,-9.322688996230062e-16,-1.0923380127614027e-15,-1.0030040193275509e-15,-1.3802692049938575e-15,-9.322688996230062e-16,-1.0802127442072214e-15,-1.053889980655325e-15,-9.819719543505609e-16,-6.653329977320766e-16,-1.3784986883805136e-15,-1.274527460297973e-15,-1.274527460297973e-15,-1.3121704344243478e-15,-1.3500906103310862e-15,-1.4570375482357802e-15,-1.301075485868654e-15
Cro_1.To.Cro_10,1.4754302491982883e-16,-6.695157085912553e-17,8.44328559360125e-17,8.44328559360125e-17,1.2782932051358407e-17,-7.937774461434467e-17,-1.0,-7.229426391281513e-17,-7.967286705688958e-17,-7.421994329027066e-17,-7.421994329027066e-17,-7.421994329027066e-17,1.469720103544171e-16,-2.093739655186618e-17,-1.668649316417434e-16,-5.3367141777726784e-17,-1.0,-1.668649316417434e-16,-1.668649316417434e-16,1.3168235848973898e-16,1.3168235848973898e-16,-1.6127076775065386e-16,1.469720103544171e-16,-8.795819985255705e-17,1.0216253667256459e-16,-8.88108511329006e-17,3.431030553718332e-17,6.641071439903541e-17,-8.981006981116076e-17,5.1023754351930506e-17,9.881370732901218e-17,4.8388761201603985e-18,-3.786216044482966e-17,8.937529514855996e-17,-9.540643067732116e-17,-8.966350241324416e-17,2.1785125689443275e-17,3.431030553718332e-17,-8.966350241324416e-17,-8.88108511329006e-17,-3.7082526016895366e-17,2.1785125689443275e-17,2.263777696978683e-17,5.7705719178437e-17,-6.656145576798101e-17,-8.88108511329006e-17,-6.218102581273126e-17,5.7705719178437e-17,5.5302315381749276e-17,7.24045309047974e-17,-8.795819985255705e-17,-4.552106788132013e-17,-8.433440149779287e-18,-8.118087350238673e-18,-8.118087350238673e-18,-7.014719521116685e-17,6.641071439903541e-17,7.966211724969484e-17,6.469774259696827e-17
Aus_13.To.Aus_9,-0.007532457488376297,-0.007962728848149163,-0.0075185479371664785,-0.0075185479371664785,-0.0013083879151919748,-0.007046872868215197,-0.006408146920627009,-0.006796150718941856,-0.006819331625324487,-0.006909151359117434,-0.006909151359117434,-0.006909151359117301,-0.006909151359117656,-0.0072378486279973024,-0.006985256623685793,-0.00640814692062692,-0.006408146920627054,-0.00698525662368597,-0.00698525662368597,-0.006744983017422829,-0.006744983017422829,-0.0069279620733139315,-0.006909151359117656,-0.5380933230779659,-0.14775269693551193,-0.5380933230779669,0.04789001113902786,-0.0691324886308222,0.22311589199628412,-0.4342936676941934,0.15864117694722554,0.36452099138135263,0.10222384310881079,0.25627346642903936,0.14223319775136714,-0.5380933230779645,-0.5380933230779653,0.047890011139028216,-0.5380933230779659,-0.5380933230779669,0.025841003074677682,-0.5380933230779641,-0.5380933230779633,-0.3510463916435537,0.0915170113817214,-0.5380933230779648,0.029271555142051802,-0.3510463916435537,-0.010603470419055643,-0.31469948822961774,-0.538093323077965,-0.14988818540822116,-0.1477526969355123,0.1558407670324922,0.1558407670324922,0.025282797302138865,-0.06913248863082132,0.04292635954191368,-0.003840428656297807
Aus_35.To.Aus_4,-0.0020556377146380487,-0.002173060486163209,-0.0020518417425925617,-0.0020518417425925617,-0.00035706428453076005,-0.0019231197335691755,-0.001748808872975524,-0.001854696658266267,-0.0018610228201453272,-0.0018855349840158435,-0.0018855349840158435,-0.0018855349840158435,-0.0018855349840162018,-0.001975237780699425,-0.0019063044144932825,-0.001748808872975524,-0.0017488088729758317,-0.0019063044144933684,-0.0019063044144933684,-0.0018407327882841709,-0.0018407327882841709,-0.001890668503003989,-0.0018855349840159797,-0.042582250418459464,-0.08896716182182382,-0.04258225041845844,0.15569594884176158,-0.09830974917371209,0.00881854310280606,-0.05491695886594419,-0.07589403936111372,-0.03766006198262257,0.027897294814341986,-0.0077964508766551,-0.005701449034665422,-0.04258225041846076,-0.04258225041846021,0.15569594884176102,-0.0425822504184611,-0.04258225041846021,0.00705211288432245,-0.04258225041846021,-0.042582250418459665,-0.028508773872935395,-0.004769756176561725,-0.04258225041846021,0.06148351985556582,-0.028508773872935395,-0.002893729401473303,-0.025774020146820512,-0.042582250418459464,-0.013373560075613992,-0.08896716182182204,0.042529567366890945,0.042529567366890945,-0.5216806903327336,-0.09830974917371155,-0.7734686987003105,-0.10606852756988136
Aus_25.To.Aus_27,0.011106047436070222,0.01174045050298408,0.01108553883900448,0.01108553883900448,0.0019291205125720463,0.01039008908727763,0.009448335259458217,0.010020417955724297,0.0100545964753238,0.010187028981679077,0.010187028981679077,0.010187028981679077,0.010187028981678935,0.010671668618333796,0.010299240524822026,0.009448335259458148,0.009448335259457855,0.010299240524821875,0.010299240524821875,0.009944974991573477,0.009944974991572961,0.01021476397845728,0.010187028981679228,-0.3643145258767865,-0.32712805801609096,-0.3643145258767862,-0.28632115234835603,-0.3196381693047466,-0.2502151725553745,-0.35442587404203807,-0.32075302846614123,-0.33004720270161714,-0.1507214414971373,-0.26028912774652746,-0.14238328283080373,-0.3643145258767847,-0.36431452587678737,-0.28632115234835664,-0.3643145258767865,-0.3643145258767871,-0.0381006340076814,-0.3643145258767853,-0.364314525876785,-0.5841836283604708,-0.08994799068222258,-0.3643145258767862,-0.29607366254783907,-0.5841836283604708,0.015634027227200756,0.37309147382699664,-0.3643145258767865,0.17935981005354099,-0.32712805801609124,-0.2297756016290123,-0.2297756016290123,-0.2981630088138949,-0.3196381693047469,-0.2889211564966799,-0.3134180094566777
